,Make,Model,Variant,Ex_Showroom_Price,Launch_year,Purchased_Month,Distribution_chanel,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Sales_per_year_in_lakhs,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Ker_Weight,Gears,Ground_Clearance,Front_rakes,Rear_rakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,horsepower,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelase,Wheels_Size,Start_/_Stop_utton,12v_Power_Outlet,Audiosystem,Aux-in_Compatiility,Average_Fuel_Consumption,asic_Warranty,luetooth,oot-lid_Opener,oot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Diing_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-elt_in_Middle_Rear_Seat,Amient_Lightning,Cargo/oot_Lights,Drive_Modes,Engine_Ioilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-elt_Reminder,Seat_ack_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,AS_(Anti-lock_raking_System),Headlight_Reminder,Adjustale_Headrests,Gross_Vehicle_Weight,Airags,Door_Ajar_Warning,ED_(Electronic_rake-force_Distriution),Fasten_Seat_elt_Warning,Gear_Shift_Reminder,Numer_of_Airags,Compression_Ratio,Adjustale_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,US_Compatiility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EA_(Electronic_rake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatiility,ESP_(Electronic_Staility_Program),Cooled_Glove_ox,Recoended_Tyre_Pressure,Heated_Seats,Turocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlam,Engine_Type,ASR_/_Traction_Control,Cruise_Control,US_Ports,Heads-Up_Display,Welcome_Lights,attery,Electric_Range
183,Ford,Aspire,1.2 Ti-Vct Amiente,"Rs. 5,98,500",2018,Octoer,Resale,1194 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,6.4,42 litres,Petrol,1525,3995,1704,Sedan,4,18 km/litre,,20.4 km/litre,,1016-1043 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist eam with twin gas and oil filled shock asorers,,,175/65R14,175/65R14,Electric Power,Only Front Windows,,Remote,96,120Nm4250rpm,Digital,Analog,Not on offer,Yes,5,Faric,Manual,2490,175/65R14,,Yes,Not on offer,,,"2 Years / 100,000 Kms (whichever comes first)",,"With Remote, Internal",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,,Rake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Ford,Aspire,1.2 Ti-Vct Trend Plus,"Rs. 6,97,400",2018,January,Franchise,1194 cc,4,,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,2.5,42 litres,Petrol,1525,3995,1704,Sedan,4,14 km/litre,,20.4 km/litre,,1016-1043 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist eam with twin gas and oil filled shock asorers,,,175/65R14,175/65R14,Electric Power,All Windows,,Remote,96,120Nm4250rpm,Digital,Analog,Analog,Yes,5,Faric,Manual,2490,175/65R14,,Yes,CD Player with US & Aux-in,,,,Yes,Manual,,Yes,Yes,Yes,Digital,Yes,Yes,Front,Yes,,,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,,Rake,,,"Rear sensors, Rear sensors with camera",,Yes,,,,Yes,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
185,Ford,Aspire,1.2 Ti-Vct Trend,"Rs. 6,63,400",2018,June,Showroom,1194 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,2.1,42 litres,Petrol,1525,3995,1704,Sedan,4,14 km/litre,,20.4 km/litre,,1016-1043 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist eam with twin gas and oil filled shock asorers,,,175/65R14,175/65R14,Electric Power,All Windows,,Remote,96,120Nm4250rpm,Digital,Analog,Analog,Yes,5,Faric,Manual,2490,175/65R14,,Yes,CD Player with US & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"Internal, With Remote",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,,Rake,,,"Rear sensors, Rear sensors with camera",,Yes,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
186,Ford,Aspire,1.5 Tdci Amiente,"Rs. 6,99,400",2013,August,Resale,1498 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,3.3,40 litres,Diesel,1525,3995,1704,Sedan,4,14 km/litre,,26.1 km/litre,,1053-1080 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist eam with twin gas and oil filled shock asorers,,,175/65R14,175/65R14,Electric Power,Only Front Windows,,Remote,100,215Nm1750-3000RPM,Digital,Analog,Not on offer,Yes,5,Faric,Manual,2490,175/65R14,,Yes,Not on offer,,,"2 Years / 100,000 Kms (whichever comes first)",,"With Remote, Internal",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,,Rake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Ford,Aspire,1.5 Tdci Trend,"Rs. 7,37,400",2013,May,Franchise,1498 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,2.3,40 litres,Diesel,1525,3995,1704,Sedan,4,14 km/litre,,26.1 km/litre,,1053-1080 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist eam with twin gas and oil filled shock asorers,,,175/65R14,175/65R14,Electric Power,All Windows,,Remote,100,215Nm1750-3000RPM,Digital,Analog,Analog,Yes,5,Faric,Manual,2490,175/65R14,,Yes,CD Player with US & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"Internal, With Remote",,,,,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,,Yes,2,,Rake,,,"Rear sensors, Rear sensors with camera",,Yes,,,,Yes,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
188,Ford,Aspire,1.5 Tdci Trend Plus,"Rs. 7,77,400",2013,March,Showroom,1498 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,2.2,40 litres,Diesel,1525,3995,1705,Sedan,4,14 km/litre,,26.1 km/litre,,1053-1080 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist eam with twin gas and oil filled shock asorers,,,175/65R14,175/65R14,Electric Power,All Windows,,Remote,100,215Nm1750-3000RPM,Digital,Analog,Analog,Yes,5,Faric,Manual,2490,175/65R14,,Yes,CD Player with US & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"Internal, With Remote",,,,,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors,,Yes,,,,,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
189,Ford,Aspire,1.5 Tdci Titanium,"Rs. 8,17,400",2013,May,Showroom,1498 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,2.7,40 litres,Diesel,1525,3995,1704,Sedan,4,15 km/litre,,26.1 km/litre,,1053-1080 kg,5,,Ventilated Disc,Drum,Independent MacPherson Dual path Strut with coil spring,Semi-independent twist eam with twin gas and oil filled shock asorers,,,195/55R15,195/55R15,Electric Power,All Windows,,Remote,100,215Nm1750-3000RPM,Digital,Analog,Analog,Yes,5,Faric,Manual,2490,195/55R15,,Yes,CD Player with US & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors,,Yes,,,,,Yes,,,Manual Adjustment,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
190,Ford,Aspire,1.5 Tdci Titanium Plus,"Rs. 8,62,400",2013,March,Resale,1498 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,2.3,40 litres,Diesel,1525,3995,1704,Sedan,4,15 km/litre,,26.1 km/litre,,1053-1080 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist eam with twin gas and oil filled shock asorers,,,195/55R15,195/55R15,Electric Power,All Windows,,Remote,100,215Nm1750-3000RPM,Digital,Analog,Analog,Yes,5,Leather,Manual,2490,195/55R15,,Yes,CD Player with US & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airag, Front passenger frontal airag, Front passenger side airag, Drive side airag, Curtain airags",Yes,Yes,Yes,Yes,6,,Rake,,,,,Yes,,,,Touch Sensitive,Yes,,,Manual Adjustment,Yes,,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,
191,Ford,Aspire,1.2 Ti-Vct Titanium Plus,"Rs. 7,82,400",2015,June,Resale,1194 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,3.3,42 litres,Petrol,1525,3995,1704,Sedan,4,15 km/litre,,19.4 km/litre,,,5,,Ventilated Disc,Drum,Independent MacPherson Dual path Strut with coil spring,Semi-independent twist eam with twin gas and oil filled shock asorers,,,195/55R15,195/55R15,Electric Power,All Windows,,Remote,96,120Nm4250rpm,Digital,Analog,Analog,Yes,5,Leather,Manual,2490,195/55R15,,Yes,CD Player with US & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airag, Drive side airag, Front passenger frontal airag, Curtain airags, Front passenger side airag",Yes,Yes,Yes,Yes,6,,Rake,,,Rear sensors,,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,,Manual Adjustment,Yes,,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,
192,Ford,Aspire,1.2 Ti-Vct Titanium,"Rs. 7,37,400",2015,March,Franchise,1194 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,4,42 litres,Petrol,1525,3995,1704,Sedan,4,15 km/litre,,19.4 km/litre,,1016-1043 kg,5,,Ventilated Disc,Drum,Independent MacPherson Dual path Strut with coil spring,Semi-independent twist eam with twin gas and oil filled shock asorers,,,195/55R15,195/55R15,Electric Power,All Windows,,Remote,96,120Nm4250rpm,Digital,Analog,Analog,Yes,5,Faric,Manual,2490,195/55R15,,Yes,CD Player with US & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors,,Yes,,,,Touch Sensitive,Yes,,,Manual Adjustment,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
193,Ford,Aspire,1.2 Trend Plus Cng,"Rs. 7,58,314",2015,June,Franchise,1194 cc,4,,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,3.34,42 litres,CNG,1525,3995,1704,Sedan,4,15 km/litre,,,20.4 km/kg,1016-1043 kg,5,,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist eam with twin gas and oil filled shock asorers,,,175/65R14,175/65R14,Electric Power,All Windows,,Remote,96,120Nm4250rpm,Digital,Analog,Analog,Yes,5,Faric,Manual,2490,175/65R14,,Yes,CD Player with US & Aux-in,,,,Yes,Manual,,Yes,Yes,Yes,Digital,Yes,Yes,Front,Yes,,,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,,Rake,,,"Rear sensors with camera, Rear sensors",,Yes,,,,Yes,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
194,Ford,Aspire,1.2 Ti-Vct lu,"Rs. 7,62,400",2015,April,Resale,1194 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,2.34,42 litres,Petrol,1525,3995,1704,Sedan,4,15 km/litre,,19.4 km/litre,,1016-1043 kg,5,,Ventilated Disc,Drum,Independent MacPherson Dual path Strut with coil spring,Semi-independent twist eam with twin gas and oil filled shock asorers,,,195/55R15,195/55R15,Electric Power,All Windows,,Remote,96,120Nm4250rpm,Digital,Analog,Analog,Yes,5,Faric,Manual,2490,195/55R15,Yes,Yes,CD Player with US & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,Yes,Yes,All Rows,,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors,,Yes,Yes,Yes,,Touch Sensitive,Yes,,,Manual Adjustment,Yes,,,Yes,,,,,,,,,,Yes,,,,,,,,,
195,Ford,Aspire,1.5 Tdci lu,"Rs. 8,42,400",2020,Feruary,Resale,1498 cc,4,4,FWD (Front Wheel Drive),In-line,S IV,"Front, Transverse",Injection,3.785,40 litres,Diesel,1525,3995,1704,Sedan,4,15 km/litre,,26.1 km/litre,,1053-1080 kg,5,,Ventilated Disc,Drum,Independent MacPherson Dual path Strut with coil spring,Semi-independent twist eam with twin gas and oil filled shock asorers,,,195/55R15,195/55R15,Electric Power,All Windows,,Remote,100,215Nm1750-3000RPM,Digital,Analog,Analog,Yes,5,Faric,Manual,2490,195/55R15,Yes,Yes,CD Player with US & Aux-in,Yes,,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",,,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,,"Front passenger frontal airag, Driver frontal airag",Yes,Yes,Yes,Yes,2,,Rake,,,Rear sensors,,Yes,Yes,Yes,,Touch Sensitive,Yes,,,Manual Adjustment,Yes,,,Yes,,,,,,,,,,Yes,,,,,,,,,
298,Ford,Mustang,Fastack V8,"Rs. 74,62,000",2018,Feruary,Resale,4951 cc,8,4,RWD (Rear Wheel Drive),V,S IV,"Front, Longitudinal",Injection,1,60.9 litres,Petrol,1391,4784,2080,"Sedan, Coupe",3,10 km/litre,13 km/litre,13 km/litre,,,6,137,Ventilated Disc,Ventilated Disc,Doule all Joint MacPherson Strut with Stailizer ar,Integral Link Independent with Coil Springs & Stailizer ar,,,255/40 R19,275/40 R19,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,401,515Nm4250-4300RPM,Digital,Analog,Analog,Yes,4,Leather,Automatic,2720,,Yes,2,CD/MP3/DVD Player with US & Aux-in,Yes,Yes,"2 Years / 100,000 Kms (whichever comes first)",Yes,"Internal, With Remote",,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,3 Years /100000 Kms (Whichever comes earlier),Yes,"Internal, With Remote",Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airag, Front passenger frontal airag, Front passenger side airag, Curtain airags, Driver knee airag, Drive side airag, Driver curtain airag",Yes,Yes,Yes,Yes,8,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"With gear shift paddles, Multifunction Steering Wheel",Yes,Yes,Electric Adjustment with Memory,Yes,,Yes,,Yes,Yes,Yes,,Only front,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
551,Ford,Ecosport,1.5L Ti-Vct Amiente,"Rs. 7,91,000",2018,March,Resale,1497 cc,3,4,FWD (Front Wheel Drive),In-line,S 6,"Front, Transverse",Injection,8,52 litres,Petrol,1647,3998,1765,SUV,5,15 km/litre,,17 km/litre,,1220 kg,5,200,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist eam with twin gas and oil filled shock asorers,,,195/65R15,195/65R15,Electric Power,All Windows,,Remote,123,150Nm4500rpm,Digital,Analog,Yes,Yes,5,Faric,Manual,2519,195/65R15,,Yes,CD/MP3/DVD Player with US & Aux-in,Yes,Yes,"2 Years / 100,000 Kms (whichever comes first)",Yes,"Internal, With Remote",352 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.3 meter,Yes,Driver & Front Passenger,Not Applicale,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,1660 kg,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,11.01,"Rake, Reach",,,,Yes,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
552,Ford,Ecosport,1.5L Ti-Vct Trend,"Rs. 8,71,000",2019,March,Franchise,1497 cc,3,4,FWD (Front Wheel Drive),In-line,S 6,"Front, Transverse",Injection,8.7,52 litres,Petrol,1647,3998,1765,SUV,5,15 km/litre,,17 km/litre,,1225 kg,5,200,Ventilated Disc,Drum,Semi-independent twist eam with twin gas and oil filled shock asorers,Semi-independent twist eam with twin gas and oil filled shock asorers,,,195/65R15,195/65R15,Electric Power,All Windows,,Remote,123,150Nm4500rpm,Digital,Analog,Analog,Yes,5,Faric,Manual,2519,195/65R15,,Yes,CD/MP3/DVD Player with US & Aux-in,Yes,Yes,"2 Years / 100,000 Kms (whichever comes first)",Yes,"Internal, With Remote",352 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.3 meter,Yes,Driver & Front Passenger,,Fully automatic climate control,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1660 kg,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,11.01,"Rake, Reach",,,,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,,,Yes,,,,Yes,,,,,Yes,,,,,,,,,,,,,
553,Ford,Ecosport,1.5L Ti-Vct Titanium,"Rs. 9,50,000",2019,March,Franchise,1497 cc,3,4,FWD (Front Wheel Drive),In-line,S 6,"Front, Transverse",Injection,7.7,52 litres,Petrol,1647,3998,1765,SUV,5,16 km/litre,,17 km/litre,,1242 kg,5,200,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist eam with twin gas and oil filled shock asorers,,,205/60R16,205/60R16,Electric Power,All Windows,,Smart Key,123,150Nm4500rpm,Digital,Analog,Analog,Yes,5,Faric,Manual,2519,205/60R16,Yes,Yes,CD/MP3/DVD Player with US & Aux-in,Yes,Yes,"2 Years / 100,000 Kms (whichever comes first)",Yes,Internal,352 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.3 meter,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1660 kg,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,11.01,"Rake, Reach",,,Rear sensors,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,,Manual Adjustment,Yes,,,Cup Holders,Yes,,Yes,,,Yes,Yes,,,Yes,,,,,,,,,
554,Ford,Ecosport,1.5L Ti-Vct Titanium Plus At,"Rs. 11,30,000",2019,March,Showroom,1497 cc,3,4,FWD (Front Wheel Drive),In-line,S 6,"Front, Transverse",Injection,6.7,52 litres,Petrol,1647,3998,1765,SUV,5,17 km/litre,,14.8 km/litre,,1320 kg,6,200,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist eam with twin gas and oil filled shock asorers,,,205/50R17,205/50R17,Electric Power,All Windows,,Smart Key,123,150Nm4500rpm,Digital,Analog,Analog,Yes,5,Faric,Automatic,2519,205/50R17,Yes,Yes,CD/MP3/DVD Player with US & Aux-in,Yes,Yes,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",352 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.3 meter,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1705 kg,"Curtain airags, Driver frontal airag, Front passenger frontal airag, Front passenger side airag, Drive side airag",Yes,Yes,Yes,Yes,6,11.01,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
555,Ford,Ecosport,1.5L Tdci Amiente,"Rs. 8,41,000",2018,January,Franchise,1498 cc,4,4,FWD (Front Wheel Drive),In-line,S 6,"Front, Transverse",Injection,9,52 litres,Diesel,1647,3998,1765,SUV,5,15 km/litre,,23 km/litre,,1261 kg,5,200,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist eam with twin gas and oil filled shock asorers,,,195/65R15,195/65R15,Electric Power,All Windows,,Remote,100,205Nm1750-3250rpm,Digital,Analog,Analog,Yes,5,Faric,Manual,2519,195/65R15,,Yes,CD/MP3/DVD Player with US & Aux-in,Yes,Yes,"2 Years / 100,000 Kms (whichever comes first)",Yes,"With Remote, Internal",352 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.3 meter,Yes,Driver & Front Passenger,Yes,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,1690 kg,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,16.01,"Rake, Reach",,,,Yes,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
556,Ford,Ecosport,1.5L Tdci Trend,"Rs. 9,21,000",2019,Decemer,Franchise,1498 cc,4,4,FWD (Front Wheel Drive),In-line,S 6,"Front, Transverse",Injection,7.7,52 litres,Diesel,1647,3998,1765,SUV,5,15 km/litre,,23 km/litre,,1268 kg,5,200,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist eam with twin gas and oil filled shock asorers,,,195/65R15,195/65R15,Electric Power,All Windows,,Remote,100,205Nm1750-3250rpm,Digital,Analog,Analog,Yes,5,Faric,Manual,2519,195/65R15,,Yes,CD/MP3/DVD Player with US & Aux-in,Yes,Yes,"2 Years / 100,000 Kms (whichever comes first)",Yes,"Internal, With Remote",352 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.3 meter,Yes,Driver & Front Passenger,Not Applicale,Fully automatic climate control,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,1690 kg,"Driver frontal airag, Front passenger frontal airag",Yes,Yes,Yes,Yes,2,16.01,"Rake, Reach",,,,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,,,Yes,,,,Yes,,,,,Yes,,,,,,,,,,,,,
